               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041676,            0.013781,          0.00091391,             0.77437,             0.52611,             0.59838,             0.39506,             0.05718,            0.014391,           0.0021939,             0.00307,             0.00307,             0.00307
                  37,            0.042089,            0.014158,           0.0011267,             0.77995,             0.56368,             0.62267,             0.40957,            0.056973,            0.014712,           0.0019783,            0.002872,            0.002872,            0.002872
                  38,            0.041206,            0.013849,           0.0010087,             0.76422,             0.57196,             0.62274,             0.39581,             0.05798,            0.014828,           0.0018992,            0.002674,            0.002674,            0.002674
                  39,            0.041473,             0.01403,          0.00092861,             0.78294,             0.57509,             0.60956,             0.40813,            0.056023,            0.014878,           0.0019359,            0.002476,            0.002476,            0.002476
                  40,            0.039709,             0.01276,          0.00096745,             0.79211,             0.54934,             0.61717,             0.40926,             0.05624,            0.014617,           0.0019121,            0.002278,            0.002278,            0.002278
                  41,            0.039957,            0.013368,          0.00090083,             0.74887,             0.57922,             0.60463,             0.40628,            0.056151,            0.014875,           0.0015676,             0.00208,             0.00208,             0.00208
                  42,             0.04075,            0.013329,          0.00099345,             0.75932,             0.56591,             0.60183,             0.39767,            0.056627,            0.015471,           0.0019766,            0.001882,            0.001882,            0.001882
                  43,            0.038844,              0.0137,          0.00072706,             0.74486,             0.56556,             0.60832,             0.40057,            0.055808,            0.015401,           0.0019718,            0.001684,            0.001684,            0.001684
                  44,             0.03855,            0.013064,          0.00088189,             0.71316,              0.5773,             0.61102,             0.40936,            0.055542,            0.015144,           0.0019514,            0.001486,            0.001486,            0.001486
                  45,            0.038916,            0.013885,           0.0007918,             0.81609,             0.55968,             0.61813,             0.42084,            0.055029,            0.014599,           0.0016273,            0.001288,            0.001288,            0.001288
                  46,            0.038657,            0.013411,          0.00071927,             0.76554,             0.59444,             0.62434,             0.41356,            0.054995,            0.014712,           0.0017094,             0.00109,             0.00109,             0.00109
                  47,            0.038356,            0.013469,          0.00077829,             0.77482,             0.58356,             0.62728,             0.42588,            0.054784,             0.01487,           0.0017792,            0.000892,            0.000892,            0.000892
                  48,            0.037878,            0.013074,          0.00072649,             0.76796,              0.5816,             0.62173,             0.42159,            0.054832,            0.014829,           0.0017901,            0.000694,            0.000694,            0.000694
                  49,            0.038026,            0.012802,          0.00084829,             0.77493,             0.59262,             0.62229,             0.41894,             0.05505,            0.014882,           0.0018113,            0.000496,            0.000496,            0.000496
